web-scraper-order,web-scraper-start-url,dex#,Pokémon,Stamina,Attack,Defense,Product,MaxCP_Lv40,MaxCP_Lv50
"1631890503-111","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-478","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-782","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-629","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-480","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-546","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-470","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-392","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-425","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-307","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-499","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-707","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-170","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-680","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-211","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-465","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-263","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-611","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-494","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-401","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-452","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-544","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-646","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-559","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-344","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-351","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-315","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-368","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-221","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-490","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-696","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-185","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-742","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-495","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-354","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-517","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-15","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-177","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-463","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-421","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-239","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-363","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-408","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-67","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-621","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-442","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-433","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-142","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-306","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-348","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-566","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-382","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-554","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-450","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-308","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-321","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-22","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-429","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-700","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-785","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-792","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-326","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-115","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-402","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-541","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-162","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-575","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-188","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-684","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-132","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-128","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-475","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-194","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-386","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-564","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-39","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-246","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-578","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-765","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-19","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-330","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
"1631890503-625","https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_(GO)","null","null","null","null","null","null","null","null"
