r,c href,c src,l,l href,c,c 2,c 3,c 4,c 5,c 6,
001,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a0/GO001.png/48px-GO001.png,Bulbasaur,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),128,118,111,1676544,1115,1260,
002,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/52/GO002.png/48px-GO002.png,Ivysaur,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),155,151,143,3346915,1699,1921,
003,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/97/GO003.png/48px-GO003.png,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),190,198,189,7110180,2720,3075,
003M,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3d/GO003M.png/48px-GO003M.png,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),190,241,246,11264340,3698,4181,
004,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c9/GO004.png/48px-GO004.png,Charmander,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),118,116,93,1272984,980,1108,
005,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3b/GO005.png/48px-GO005.png,Charmeleon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),151,158,126,3006108,1653,1868,
006,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/db/GO006.png/48px-GO006.png,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),186,223,173,7175694,2889,3266,
006MX,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4e/GO006MX.png/48px-GO006MX.png,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),186,273,213,10815714,3850,4353,
006MY,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5a/GO006MY.png/48px-GO006MY.png,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),186,319,212,12578808,4455,5037,
007,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/fa/GO007.png/48px-GO007.png,Squirtle,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),127,94,121,1444498,946,1069,
008,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/91/GO008.png/48px-GO008.png,Wartortle,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),153,126,155,2988090,1488,1682,
009,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d6/GO009.png/48px-GO009.png,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),188,171,207,6654636,2466,2788,
009M,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6d/GO009M.png/48px-GO009M.png,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),188,264,237,11762784,3941,4455,
010,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b7/GO010.png/48px-GO010.png,Caterpie,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),128,55,55,387200,437,494,
011,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/dd/GO011.png/48px-GO011.png,Metapod,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),137,45,80,493200,450,509,
012,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/44/GO012.png/48px-GO012.png,Butterfree,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),155,167,137,3546245,1827,2065,
