id,atk,def,sta,percent,,,,,,,,
"15,15,15",15,15,15,100,,15,15,15,151515,151515,151515,15;15;15
"15,15,14",15,15,14,98,,15,15,14,151514,151514,151514,15;15;14
"15,15,13",15,15,13,96,,15,15,13,151513,151513,151513,15;15;13
"15,15,12",15,15,12,93,,15,15,12,151512,151512,151512,15;15;12
"15,15,11",15,15,11,91,,15,15,11,151511,151511,151511,15;15;11
"15,15,10",15,15,10,89,,15,15,10,151510,151510,151510,15;15;10
"15,15,9",15,15,09,87,,15,15,09,151509,151509,151509,15;15;09
"15,15,8",15,15,08,84,,15,15,08,151508,151508,151508,15;15;08
"15,15,7",15,15,07,82,,15,15,07,151507,151507,151507,15;15;07
"15,15,6",15,15,06,80,,15,15,06,151506,151506,151506,15;15;06
"15,15,5",15,15,05,78,,15,15,05,151505,151505,151505,15;15;05
"15,15,4",15,15,04,76,,15,15,04,151504,151504,151504,15;15;04
"15,15,3",15,15,03,73,,15,15,03,151503,151503,151503,15;15;03
"15,15,2",15,15,02,71,,15,15,02,151502,151502,151502,15;15;02
"15,15,1",15,15,01,69,,15,15,01,151501,151501,151501,15;15;01
"15,15,0",15,15,00,67,,15,15,00,151500,151500,151500,15;15;00
"15,14,15",15,14,15,98,,15,14,15,151415,151415,151415,15;14;15
"15,14,14",15,14,14,96,,15,14,14,151414,151414,151414,15;14;14
"15,14,13",15,14,13,93,,15,14,13,151413,151413,151413,15;14;13
"15,14,12",15,14,12,91,,15,14,12,151412,151412,151412,15;14;12
"15,14,11",15,14,11,89,,15,14,11,151411,151411,151411,15;14;11
"15,14,10",15,14,10,87,,15,14,10,151410,151410,151410,15;14;10
"15,14,9",15,14,09,84,,15,14,09,151409,151409,151409,15;14;09
"15,14,8",15,14,08,82,,15,14,08,151408,151408,151408,15;14;08
"15,14,7",15,14,07,80,,15,14,07,151407,151407,151407,15;14;07
"15,14,6",15,14,06,78,,15,14,06,151406,151406,151406,15;14;06
"15,14,5",15,14,05,76,,15,14,05,151405,151405,151405,15;14;05
"15,14,4",15,14,04,73,,15,14,04,151404,151404,151404,15;14;04
"15,14,3",15,14,03,71,,15,14,03,151403,151403,151403,15;14;03
"15,14,2",15,14,02,69,,15,14,02,151402,151402,151402,15;14;02
"15,14,1",15,14,01,67,,15,14,01,151401,151401,151401,15;14;01
"15,14,0",15,14,00,64,,15,14,00,151400,151400,151400,15;14;00
"15,13,15",15,13,15,96,,15,13,15,151315,151315,151315,15;13;15
"15,13,14",15,13,14,93,,15,13,14,151314,151314,151314,15;13;14
"15,13,13",15,13,13,91,,15,13,13,151313,151313,151313,15;13;13
"15,13,12",15,13,12,89,,15,13,12,151312,151312,151312,15;13;12
"15,13,11",15,13,11,87,,15,13,11,151311,151311,151311,15;13;11
"15,13,10",15,13,10,84,,15,13,10,151310,151310,151310,15;13;10
"15,13,9",15,13,09,82,,15,13,09,151309,151309,151309,15;13;09
"15,13,8",15,13,08,80,,15,13,08,151308,151308,151308,15;13;08
"15,13,7",15,13,07,78,,15,13,07,151307,151307,151307,15;13;07
"15,13,6",15,13,06,76,,15,13,06,151306,151306,151306,15;13;06
"15,13,5",15,13,05,73,,15,13,05,151305,151305,151305,15;13;05
"15,13,4",15,13,04,71,,15,13,04,151304,151304,151304,15;13;04
"15,13,3",15,13,03,69,,15,13,03,151303,151303,151303,15;13;03
"15,13,2",15,13,02,67,,15,13,02,151302,151302,151302,15;13;02
"15,13,1",15,13,01,64,,15,13,01,151301,151301,151301,15;13;01
"15,13,0",15,13,00,62,,15,13,00,151300,151300,151300,15;13;00
"15,12,15",15,12,15,93,,15,12,15,151215,151215,151215,15;12;15
"15,12,14",15,12,14,91,,15,12,14,151214,151214,151214,15;12;14
"15,12,13",15,12,13,89,,15,12,13,151213,151213,151213,15;12;13
"15,12,12",15,12,12,87,,15,12,12,151212,151212,151212,15;12;12
"15,12,11",15,12,11,84,,15,12,11,151211,151211,151211,15;12;11
"15,12,10",15,12,10,82,,15,12,10,151210,151210,151210,15;12;10
"15,12,9",15,12,09,80,,15,12,09,151209,151209,151209,15;12;09
"15,12,8",15,12,08,78,,15,12,08,151208,151208,151208,15;12;08
"15,12,7",15,12,07,76,,15,12,07,151207,151207,151207,15;12;07
"15,12,6",15,12,06,73,,15,12,06,151206,151206,151206,15;12;06
"15,12,5",15,12,05,71,,15,12,05,151205,151205,151205,15;12;05
"15,12,4",15,12,04,69,,15,12,04,151204,151204,151204,15;12;04
"15,12,3",15,12,03,67,,15,12,03,151203,151203,151203,15;12;03
"15,12,2",15,12,02,64,,15,12,02,151202,151202,151202,15;12;02
"15,12,1",15,12,01,62,,15,12,01,151201,151201,151201,15;12;01
"15,12,0",15,12,00,60,,15,12,00,151200,151200,151200,15;12;00
"15,11,15",15,11,15,91,,15,11,15,151115,151115,151115,15;11;15
"15,11,14",15,11,14,89,,15,11,14,151114,151114,151114,15;11;14
"15,11,13",15,11,13,87,,15,11,13,151113,151113,151113,15;11;13
"15,11,12",15,11,12,84,,15,11,12,151112,151112,151112,15;11;12
"15,11,11",15,11,11,82,,15,11,11,151111,151111,151111,15;11;11
"15,11,10",15,11,10,80,,15,11,10,151110,151110,151110,15;11;10
"15,11,9",15,11,09,78,,15,11,09,151109,151109,151109,15;11;09
"15,11,8",15,11,08,76,,15,11,08,151108,151108,151108,15;11;08
"15,11,7",15,11,07,73,,15,11,07,151107,151107,151107,15;11;07
"15,11,6",15,11,06,71,,15,11,06,151106,151106,151106,15;11;06
"15,11,5",15,11,05,69,,15,11,05,151105,151105,151105,15;11;05
"15,11,4",15,11,04,67,,15,11,04,151104,151104,151104,15;11;04
"15,11,3",15,11,03,64,,15,11,03,151103,151103,151103,15;11;03
"15,11,2",15,11,02,62,,15,11,02,151102,151102,151102,15;11;02
"15,11,1",15,11,01,60,,15,11,01,151101,151101,151101,15;11;01
"15,11,0",15,11,00,58,,15,11,00,151100,151100,151100,15;11;00
"15,10,15",15,10,15,89,,15,10,15,151015,151015,151015,15;10;15
"15,10,14",15,10,14,87,,15,10,14,151014,151014,151014,15;10;14
"15,10,13",15,10,13,84,,15,10,13,151013,151013,151013,15;10;13
"15,10,12",15,10,12,82,,15,10,12,151012,151012,151012,15;10;12
"15,10,11",15,10,11,80,,15,10,11,151011,151011,151011,15;10;11
"15,10,10",15,10,10,78,,15,10,10,151010,151010,151010,15;10;10
"15,10,9",15,10,09,76,,15,10,09,151009,151009,151009,15;10;09
"15,10,8",15,10,08,73,,15,10,08,151008,151008,151008,15;10;08
"15,10,7",15,10,07,71,,15,10,07,151007,151007,151007,15;10;07
"15,10,6",15,10,06,69,,15,10,06,151006,151006,151006,15;10;06
"15,10,5",15,10,05,67,,15,10,05,151005,151005,151005,15;10;05
"15,10,4",15,10,04,64,,15,10,04,151004,151004,151004,15;10;04
"15,10,3",15,10,03,62,,15,10,03,151003,151003,151003,15;10;03
"15,10,2",15,10,02,60,,15,10,02,151002,151002,151002,15;10;02
"15,10,1",15,10,01,58,,15,10,01,151001,151001,151001,15;10;01
"15,10,0",15,10,00,56,,15,10,00,151000,151000,151000,15;10;00
"15,9,15",15,09,15,87,,15,09,15,150915,150915,150915,15;09;15
"15,9,14",15,09,14,84,,15,09,14,150914,150914,150914,15;09;14
"15,9,13",15,09,13,82,,15,09,13,150913,150913,150913,15;09;13
"15,9,12",15,09,12,80,,15,09,12,150912,150912,150912,15;09;12
"15,9,11",15,09,11,78,,15,09,11,150911,150911,150911,15;09;11
"15,9,10",15,09,10,76,,15,09,10,150910,150910,150910,15;09;10
"15,9,9",15,09,09,73,,15,09,09,150909,150909,150909,15;09;09
"15,9,8",15,09,08,71,,15,09,08,150908,150908,150908,15;09;08
"15,9,7",15,09,07,69,,15,09,07,150907,150907,150907,15;09;07
"15,9,6",15,09,06,67,,15,09,06,150906,150906,150906,15;09;06
"15,9,5",15,09,05,64,,15,09,05,150905,150905,150905,15;09;05
"15,9,4",15,09,04,62,,15,09,04,150904,150904,150904,15;09;04
"15,9,3",15,09,03,60,,15,09,03,150903,150903,150903,15;09;03
"15,9,2",15,09,02,58,,15,09,02,150902,150902,150902,15;09;02
"15,9,1",15,09,01,56,,15,09,01,150901,150901,150901,15;09;01
"15,9,0",15,09,00,53,,15,09,00,150900,150900,150900,15;09;00
"15,8,15",15,08,15,84,,15,08,15,150815,150815,150815,15;08;15
"15,8,14",15,08,14,82,,15,08,14,150814,150814,150814,15;08;14
"15,8,13",15,08,13,80,,15,08,13,150813,150813,150813,15;08;13
"15,8,12",15,08,12,78,,15,08,12,150812,150812,150812,15;08;12
"15,8,11",15,08,11,76,,15,08,11,150811,150811,150811,15;08;11
"15,8,10",15,08,10,73,,15,08,10,150810,150810,150810,15;08;10
"15,8,9",15,08,09,71,,15,08,09,150809,150809,150809,15;08;09
"15,8,8",15,08,08,69,,15,08,08,150808,150808,150808,15;08;08
"15,8,7",15,08,07,67,,15,08,07,150807,150807,150807,15;08;07
"15,8,6",15,08,06,64,,15,08,06,150806,150806,150806,15;08;06
"15,8,5",15,08,05,62,,15,08,05,150805,150805,150805,15;08;05
"15,8,4",15,08,04,60,,15,08,04,150804,150804,150804,15;08;04
"15,8,3",15,08,03,58,,15,08,03,150803,150803,150803,15;08;03
"15,8,2",15,08,02,56,,15,08,02,150802,150802,150802,15;08;02
"15,8,1",15,08,01,53,,15,08,01,150801,150801,150801,15;08;01
"15,8,0",15,08,00,51,,15,08,00,150800,150800,150800,15;08;00
"15,7,15",15,07,15,82,,15,07,15,150715,150715,150715,15;07;15
"15,7,14",15,07,14,80,,15,07,14,150714,150714,150714,15;07;14
"15,7,13",15,07,13,78,,15,07,13,150713,150713,150713,15;07;13
