Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
Bulbasaur,,1,?,749,94,8,8,10,57.8,26,26,,,,2020-32-04 19:32,2020-32-04 19:32,5/4/2020,,,0,0,5,0,71.77%,1157,95.92%,130000,161,Ivysaur,,0,80.20%,812,96.76%,157000,297,Venusaur,,0
Bulbasaur,,1,?,949,100,12,15,6,73.3,33,33,Tackle,Seed Bomb,,5/2/2020 23:05,5/2/2020 23:05,5/2/2020,,,0,0,1,0,58.34%,1707,95.15%,21000,49,Ivysaur,,0,51.65%,1981,95.35%,52000,187,Venusaur,,0
Bulbasaur,,1,?,569,82,6,9,10,55.6,20,20,,,,2020-50-01 12:50,2020-50-01 12:50,1/11/2020,,,0,0,2,0,64.91%,1438,95.71%,2500,127,Venusaur,,0,,,,,,,,
Ivysaur,,2,?,887,98,7,7,10,53.3,20,20,,,,2020-23-28 14:23,2020-23-28 14:23,4/14/2020,,,0,0,2,0,54.41%,1868,95.20%,2500,102,Venusaur,,0,,,,,,,,
Venusaur,,3,?,1495,120,11,10,12,73.3,20,20,Razor Leaf,Sludge Bomb,,2020-30-08 22:30,2020-30-08 22:30,4/6/2020,,,0,0,0,0,73.65%,1080,96.14%,0,0,Venusaur,,0,58.66%,1694,95.65%,161000,160,Venusaur,,0
Charmander,,4,?,827,97,11,13,13,82.2,32,32,,,,2020-54-07 16:54,2020-54-07 16:54,5/7/2020,,,0,0,5,0,,,,,,,,,74.68%,1038,96.82%,0,125,Charizard,,0
Charmander,,4,?,461,72,0,9,4,28.9,20,20,,,,7/4/2020 1:07,7/4/2020 1:07,5/3/2020,,,0,0,2,0,74.38%,1050,95.90%,0,125,Charizard,,0,,,,,,,,
Charmeleon,,5,?,834,94,8,9,12,64.4,19,19,,,,2020-41-07 14:41,2020-41-07 14:41,5/1/2020,,,0,0,2,0,77.17%,936,96.04%,0,100,Charizard,,0,65.25%,1424,96.43%,121000,210,Charizard,,0
Charmeleon,,5,?,21,15,10,10,10,66.7,1,1,,,,2020-24-28 14:24,2020-24-28 14:24,7/9/2016,,,0,0,0,0,85.20%,607,96.56%,40000,152,Charizard,,0,66.69%,1365,96.49%,161000,262,Charizard,,0
Squirtle,,7,?,492,81,11,5,10,57.8,20,20,,,,2020-46-17 07:46,2020-46-17 07:46,5/7/2020,,,0,0,0,0,56.87%,1767,95.05%,14000,138,Blastoise,,0,68.86%,1276,91.11%,225000,373,Blastoise,,0
Squirtle,,7,?,528,89,1,2,10,28.9,24,24,,,,2020-17-07 17:17,2020-17-07 17:17,5/7/2020,,,0,0,2,0,94.31%,234,97.48%,0,125,Blastoise,,0,12.26%,3594,84.88%,201000,351,Blastoise,,0
