Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
1,Exeggcute,,102,♀,1016,123,12,9,7,62.2,35.0,35.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,2.81kg,0.39m,0,0,0,8000,79.51%,840,89.18%,88000,118,Exeggcute,,0,79.51%,840,89.18%,88000,118,Exeggcute,,0
2,Electrike,,309,♀,553,82,4,10,8,48.9,23.0,23.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,15.38kg,0.56m,0,0,2,3500,45.32%,2240,94.25%,7000,56,Manectric,,0,56.46%,1784,88.74%,208000,282,Manectric,,0
3,Sunkern,,191,♂,268,79,13,7,15,77.8,26.0,26.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,2.74kg,0.35m,0,0,1,4000,90.16%,404,86.04%,186000,214,Sunkern,,0,90.35%,396,93.72%,186000,264,Sunflora,,0
4,Ralts,,280,♂,229,56,,,,45.9,17.5,17.5,,,,"2020-06-03 11:45","2020-06-03 11:45",,6.32kg,0.39m,0,0,0,2200,22.21%,2188,94.64%,2200,127,Gardevoir,,0,26.15%,1777,96.31%,91600,205,Gardevoir,,0
5,Barboach,,339,,551,101,,,,43.7,27.5,27.5,,,,"2020-06-03 11:45","2020-06-03 11:45",,2.74kg,0.44m,0,0,0,4500,34.59%,1964,94.80%,0,50,Whiscash,,0,34.11%,2388,87.08%,173500,252,Whiscash,,0
6,Cacnea,,331,♂,694,88,5,11,5,46.7,22.0,22.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,47.9kg,0.39m,0,0,1,3000,55.46%,1825,95.01%,16500,65,Cacturne,,0,51.14%,2002,87.76%,214000,288,Cacturne,,0
7,Mantine,,226,♀,1569,122,10,14,14,84.4,27.0,27.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,178.97kg,2.07m,0,0,1,4500,,,,,,,,,96.36%,150,95.84%,178000,206,Mantine,,0
8,Natu,,177,,714,83,,,,47.8,25.5,25.5,,,,"2020-06-03 11:45","2020-06-03 11:45",,1.75kg,0.19m,0,0,0,4000,53.08%,756,96.42%,4000,53,Xatu,,0,42.83%,1859,88.50%,190000,267,Xatu,,0
9,Starly,,396,♂,344,80,2,7,15,53.3,20.0,20.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,1.43kg,0.31m,0,0,2,2500,95.48%,186,97.67%,0,125,Staraptor,,0,93.58%,264,98.21%,169000,295,Staraptor,,0
10,Sandshrew,Normal,27,♀,439,71,11,9,11,68.9,13.0,13.0,,,,"2020-06-03 11:45","2020-06-03 11:45",5/31/2020,13.16kg,0.6m,0,1,1,1921,61.22%,1589,95.07%,53768,114,Sandslash,Normal,1,96.70%,136,96.27%,177600,258,Sandslash,Normal,2
11,Vulpix,Normal,37,♂,539,81,4,11,6,46.7,25.0,25.0,,,,"2020-06-03 11:45","2020-06-03 11:45",6/1/2020,9.87kg,0.58m,0,0,2,4000,67.45%,1334,95.66%,0,50,Ninetales,Normal,0,40.98%,2418,87.91%,194000,270,Ninetales,Normal,0
12,Kabuto,,140,♀,777,69,15,14,14,95.6,20.0,20.0,,,,"2020-06-03 11:45","2020-06-03 11:45",6/1/2020,11.21kg,0.46m,0,0,1,2500,99.80%,9,98.27%,225000,248,Kabuto,,0,67.64%,1326,96.10%,130000,172,Kabutops,,0
13,Slakoth,,287,♀,688,108,14,13,8,77.8,25.0,25.0,,,,"2020-06-03 11:45","2020-06-03 11:45",6/1/2020,41.42kg,0.95m,0,0,2,4000,10.92%,3649,92.65%,16000,39,Vigoroth,,0,94.60%,222,94.55%,194000,245,Vigoroth,,0
14,Eevee,,133,♂,865,113,12,14,11,82.2,29.5,29.5,,,,"2020-06-03 11:44","2020-06-03 11:44",,10.02kg,0.35m,0,0,0,5000,97.02%,123,94.44%,155000,186,Eevee,,0,70.65%,1203,96.83%,15000,37,Leafeon,,0
15,Turtwig,,387,♂,884,106,15,9,6,66.7,27.5,27.5,,,,"2020-06-03 11:44","2020-06-03 11:44",,13.85kg,0.47m,0,0,0,4500,26.25%,3021,93.80%,13500,37,Grotle,,0,11.36%,3631,94.42%,39500,159,Torterra,,0
16,Misdreavus,,200,♀,379,60,4,1,5,22.2,8.0,8.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,1.42kg,0.89m,0,1,0,961,48.79%,2098,94.91%,47100,45,Misdreavus,,2,25.86%,3037,90.26%,177600,303,Mismagius,,2
17,Turtwig,,387,♀,954,119,4,13,14,68.9,32.0,32.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,8.02kg,0.38m,0,0,5,6000,83.69%,669,89.61%,128000,162,Turtwig,,0,93.85%,253,98.26%,12000,137,Torterra,,0
18,Starly,,396,♀,337,73,3,14,7,53.3,19.0,19.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,1.83kg,0.28m,0,0,2,2500,47.64%,2145,94.66%,2500,127,Staraptor,,0,93.14%,282,98.17%,166000,289,Staraptor,,0
19,Electabuzz,,125,♂,515,65,13,14,12,86.7,8.0,8.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,21.19kg,0.92m,0,1,0,961,40.54%,2436,93.99%,29770,148,Electivire,,1,15.51%,3461,94.42%,25500,115,Electivire,,2
20,Cubone,,104,♂,571,89,14,15,12,91.1,20.0,20.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,8.9kg,0.45m,0,0,0,2500,54.16%,1878,95.17%,65000,108,Marowak,Normal,0,99.02%,41,97.15%,225000,298,Marowak,Normal,0
21,Cyndaquil,,155,♂,841,98,9,14,12,77.8,34.0,34.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,7.48kg,0.51m,0,0,1,7000,89.40%,435,96.50%,38000,71,Quilava,,0,93.94%,249,93.65%,102000,159,Quilava,,0
22,Treecko,,252,♂,891,95,14,10,7,68.9,33.0,33.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/1/2020,2.22kg,0.4m,0,0,0,7000,45.52%,2232,93.53%,44000,77,Grovyle,,0,41.88%,2381,95.47%,44000,177,Sceptile,,0
23,Trapinch,,328,♀,527,72,10,15,13,84.4,15.0,15.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/2/2020,24.32kg,0.89m,0,0,0,1900,69.08%,1267,95.97%,21400,145,Flygon,,0,,,,,,,,
24,Eevee,,133,♂,925,120,10,13,13,80.0,34.0,34.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/2/2020,6.84kg,0.3m,0,0,0,7000,94.19%,239,92.83%,102000,134,Eevee,,0,92.04%,327,94.65%,102000,159,Umbreon,,0
25,Drilbur,,529,♂,876,108,12,13,14,86.7,23.0,23.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/2/2020,9.17kg,0.29m,0,0,0,3500,98.17%,76,95.54%,208000,232,Drilbur,,0,90.45%,392,97.45%,34500,80,Excadrill,,0
26,Makuhita,,296,♂,658,140,15,5,15,77.8,31.0,31.0,,,,"2020-06-03 11:44","2020-06-03 11:44",6/2/2020,111.47kg,1.12m,0,0,1,6000,75.04%,1023,85.51%,140000,174,Makuhita,,0,10.77%,3655,93.85%,38000,90,Hariyama,,0
27,Nidoran♂,,32,♂,486,87,,,,69.3,21.5,21.5,,,,"2020-06-03 11:43","2020-06-03 11:43",,13.09kg,0.63m,0,0,0,3000,81.97%,396,91.93%,217000,266,Nidorino,,0,83.49%,336,97.23%,217000,366,Nidoking,,0
28,Tirtouga,,564,♂,828,93,13,13,13,86.7,20.0,20.0,,,,"2020-06-03 11:43","2020-06-03 11:43",6/2/2020,21.2kg,0.82m,0,0,0,2500,19.32%,3305,93.42%,0,50,Carracosta,,0,,,,,,,,
29,Makuhita,,296,♀,638,134,5,14,5,53.3,32.0,32.0,,,,"2020-06-03 00:53","2020-06-03 00:53",5/21/2020,,,0,0,1,0,75.92%,987,85.71%,128000,162,Makuhita,,0,90.33%,397,97.79%,56000,114,Hariyama,,0
30,Makuhita,,296,♂,634,134,5,15,6,57.8,31.0,31.0,,,,"2020-06-03 00:53","2020-06-03 00:53",4/30/2020,,,0,0,1,0,80.71%,791,86.97%,140000,174,Makuhita,,0,90.45%,392,97.80%,60000,116,Hariyama,,0
31,Nidoran♂,,32,♂,486,87,9,9,9,60.0,22.0,22.0,,,,"2020-06-02 21:59","2020-06-02 21:59",6/2/2020,,,0,0,0,0,71.21%,1180,88.09%,214000,263,Nidorino,,0,72.80%,1115,94.11%,214000,363,Nidoking,,0
32,Leafeon,,470,♂,1500,98,14,8,9,68.9,18.5,18.5,Quick Attack,Leaf Blade,,"2020-06-02 21:32","2020-06-02 21:32",4/26/2020,,,0,0,2,0,59.05%,1678,95.26%,0,0,Leafeon,,0,27.52%,2969,95.19%,98200,86,Leafeon,,0
33,Leafeon,,470,♂,1492,96,12,7,2,46.7,19.0,19.0,Razor Leaf,Energy Ball,,"2020-06-02 21:25","2020-06-02 21:25",5/29/2020,,,0,0,0,0,44.76%,2263,94.58%,0,0,Leafeon,,0,17.39%,3384,94.71%,121000,110,Leafeon,,0
34,Leafeon,,470,♂,1495,98,7,11,7,55.6,19.0,19.0,Quick Attack,Solar Beam,,"2020-06-02 21:15","2020-06-02 21:15",5/5/2020,,,0,0,0,0,76.17%,977,96.10%,0,0,Leafeon,,0,63.61%,1491,96.55%,121000,110,Leafeon,,0
35,Turtwig,,387,♂,815,102,10,13,5,62.2,26.0,26.0,,,,"2020-06-01 22:55","2020-06-01 22:55",6/1/2020,,,0,0,4,0,49.26%,2079,95.08%,31000,53,Grotle,,0,52.97%,1927,96.23%,64000,183,Torterra,,0
