level_id,level,multiplier,dust_cost,candy_cost,xl_candy_cost,total_dust_used,total_candy_used,total_xl_candy_used
1,1,0.094,200,1,0,0,0,0
2,1.5,0.135137432,200,1,0,200,1,0
3,2,0.16639787,200,1,0,400,2,0
4,2.5,0.192650915,200,1,0,600,3,0
5,3,0.21573247,400,1,0,800,4,0
6,3.5,0.236572655,400,1,0,1200,5,0
7,4,0.25572005,400,1,0,1600,6,0
8,4.5,0.273530379,400,1,0,2000,7,0
9,5,0.29024988,600,1,0,2400,8,0
10,5.5,0.30605738,600,1,0,3000,9,0
11,6,0.3210876,600,1,0,3600,10,0
12,6.5,0.335445035,600,1,0,4200,11,0
13,7,0.34921268,800,1,0,4800,12,0
14,7.5,0.362457752,800,1,0,5600,13,0
15,8,0.37523559,800,1,0,6400,14,0
16,8.5,0.387592414,800,1,0,7200,15,0
17,9,0.39956728,1000,1,0,8000,16,0
18,9.5,0.411193544,1000,1,0,9000,17,0
19,10,0.4225,1000,1,0,10000,18,0
20,10.5,0.432926409,1000,1,0,11000,19,0
21,11,0.44310755,1300,2,0,12000,20,0
22,11.5,0.453059958,1300,2,0,13300,22,0
23,12,0.46279839,1300,2,0,14600,24,0
24,12.5,0.472336078,1300,2,0,15900,26,0
25,13,0.48168495,1600,2,0,17200,28,0
26,13.5,0.490855809,1600,2,0,18800,30,0
27,14,0.49985844,1600,2,0,20400,32,0
28,14.5,0.508701759,1600,2,0,22000,34,0
29,15,0.51739395,1900,2,0,23600,36,0
30,15.5,0.525942511,1900,2,0,25500,38,0
31,16,0.53435433,1900,2,0,27400,40,0
32,16.5,0.542635761,1900,2,0,29300,42,0
33,17,0.55079269,2200,2,0,31200,44,0
34,17.5,0.558830597,2200,2,0,33400,46,0
35,18,0.56675452,2200,2,0,35600,48,0
36,18.5,0.574569149,2200,2,0,37800,50,0
37,19,0.58227891,2500,2,0,40000,52,0
38,19.5,0.589887908,2500,2,0,42500,54,0
39,20,0.5974,2500,2,0,45000,56,0
40,20.5,0.604823655,2500,2,0,47500,58,0
41,21,0.61215729,3000,3,0,50000,60,0
42,21.5,0.619404115,3000,3,0,53000,63,0
43,22,0.62656713,3000,3,0,56000,66,0
44,22.5,0.633649182,3000,3,0,59000,69,0
45,23,0.64065295,3500,3,0,62000,72,0
46,23.5,0.647580959,3500,3,0,65500,75,0
47,24,0.65443563,3500,3,0,69000,78,0
48,24.5,0.661219261,3500,3,0,72500,81,0
49,25,0.667934,4000,3,0,76000,84,0
50,25.5,0.674581899,4000,3,0,80000,87,0
51,26,0.68116492,4000,4,0,84000,90,0
52,26.5,0.687684904,4000,4,0,88000,94,0
53,27,0.69414365,4500,4,0,92000,98,0
54,27.5,0.700542894,4500,4,0,96500,102,0
55,28,0.70688421,4500,4,0,101000,106,0
56,28.5,0.713169102,4500,4,0,105500,110,0
57,29,0.71939909,5000,4,0,110000,114,0
58,29.5,0.725575613,5000,4,0,115000,118,0
59,30,0.7317,5000,4,0,120000,122,0
60,30.5,0.734741007,5000,4,0,125000,126,0
61,31,0.73776948,6000,6,0,130000,130,0
62,31.5,0.74078557,6000,6,0,136000,136,0
63,32,0.74378943,6000,6,0,142000,142,0
64,32.5,0.746781204,6000,6,0,148000,148,0
65,33,0.74976104,7000,8,0,154000,154,0
66,33.5,0.752729104,7000,8,0,161000,162,0
67,34,0.75568551,7000,8,0,168000,170,0
68,34.5,0.758630369,7000,8,0,175000,178,0
69,35,0.76156384,8000,10,0,182000,186,0
70,35.5,0.764486069,8000,10,0,190000,196,0
71,36,0.76739717,8000,10,0,198000,206,0
72,36.5,0.770297274,8000,10,0,206000,216,0
73,37,0.7731865,9000,12,0,214000,226,0
74,37.5,0.776064943,9000,12,0,223000,238,0
75,38,0.77893275,9000,12,0,232000,250,0
76,38.5,0.781790078,9000,12,0,241000,262,0
77,39,0.784637,10000,15,0,250000,274,0
78,39.5,0.787473591,10000,15,0,260000,289,0
79,40,0.7903,10000,0,10,270000,304,0
80,40.5,0.792803947,10000,0,10,280000,304,10
81,41,0.79530001,11000,0,10,290000,304,20
82,41.5,0.797800015,11000,0,10,301000,304,30
83,42,0.8003,11000,0,12,312000,304,40
84,42.5,0.802799995,11000,0,12,323000,304,52
85,43,0.8053,12000,0,12,334000,304,64
86,43.5,0.8078,12000,0,12,346000,304,76
87,44,0.81029999,12000,0,15,358000,304,88
88,44.5,0.812799985,12000,0,15,370000,304,103
89,45,0.81529999,13000,0,15,382000,304,118
90,45.5,0.81779999,13000,0,15,395000,304,133
91,46,0.82029999,13000,0,17,408000,304,148
92,46.5,0.82279999,13000,0,17,421000,304,165
93,47,0.82529999,14000,0,17,434000,304,182
94,47.5,0.82779999,14000,0,17,448000,304,199
95,48,0.83029999,14000,0,20,462000,304,216
96,48.5,0.83279999,14000,0,20,476000,304,236
97,49,0.83529999,15000,0,20,490000,304,256
98,49.5,0.83779999,15000,0,20,505000,304,276
99,50,0.84029999,0,0,0,520000,304,296
