Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Poliwag,,60,♀,237,60,3,5,11,42.2,12.0,12.0,Bubble,Body Slam,,"2022-02-04 09:01","2022-02-04 09:01",2/4/2022,,,0,0,0,1300,81.90%,742,96.48%,50900,176,Politoed,,0,32.97%,2746,90.89%,255400,405,Poliwrath,,0,82.83%,704,95.51%,5800,33,Poliwhirl,,0,
2,Steelix,Normal,208,♀,1350,114,15,10,10,77.8,20.0,20.0,Dragon Tail,Earthquake,,"2021-12-05 15:23","2021-12-05 15:23",12/5/2021,,,0,0,0,2500,17.48%,3380,92.54%,11000,10,Steelix,Normal,0,94.55%,224,95.71%,225000,248,Steelix,Normal,0,,,,,,,,,
3,Magikarp,,129,♂,77,44,5,9,4,40.0,14.0,14.0,,,,"2021-11-11 17:22","2020-06-30 19:46",6/30/2020,,,0,0,1,1600,53.50%,1905,94.78%,8900,410,Gyarados,Normal,0,,,,,,,,,,,,,,,,,G
4,Magikarp,,129,♂,72,41,5,14,1,44.4,13.0,13.0,,,,"2021-11-11 17:22","2020-08-08 14:53",8/8/2020,,,0,0,1,1600,70.04%,1228,95.57%,12100,414,Gyarados,Normal,0,,,,,,,,,,,,,,,,,G
5,Magikarp,,129,♀,68,41,4,8,1,28.9,13.0,13.0,,,,"2021-11-11 17:22","2020-06-30 19:33",6/30/2020,4.96kg,0.82m,0,0,0,1600,88.01%,492,96.75%,14000,416,Gyarados,Normal,0,41.32%,2404,94.97%,83800,478,Gyarados,Normal,0,15.16%,3475,59.16%,252800,276,Magikarp,,0,
6,Magikarp,,129,♀,67,46,0,0,5,11.1,15.0,15.0,,,,"2021-11-11 17:22","2020-07-02 14:26",7/2/2020,,,0,0,2,1900,91.18%,362,97.06%,9800,410,Gyarados,Normal,0,,,,,,,,,,,,,,,,,G
7,Snover,,459,♀,66,31,15,12,7,75.6,2.5,2.5,Ice Shard,Energy Ball,,"2021-11-11 17:22","2020-03-11 23:41",12/28/2019,55.06kg,1.12m,0,0,1,200,12.04%,3603,93.00%,58400,116,Abomasnow,Normal,0,93.82%,254,94.90%,269400,351,Abomasnow,Normal,0,33.38%,2729,90.70%,5000,60,Abomasnow,Normal,0,
8,Beldum,,374,,64,28,8,4,11,51.1,3.0,3.0,,,,"2021-11-11 17:22","2020-08-14 12:17",8/14/2020,,,0,0,1,400,65.20%,1426,95.81%,21200,155,Metagross,,0,,,,,,,,,,,,,,,,,G
9,Hippopotas,,449,♀,57,30,13,7,14,75.6,2.0,2.0,Tackle,Rock Tomb,,"2021-11-11 17:22","2020-03-11 23:39",12/28/2019,49.31kg,0.8m,0,0,1,200,68.45%,1293,95.92%,33000,94,Hippowdon,,0,29.69%,2880,95.16%,109600,162,Hippowdon,,0,85.05%,613,95.37%,3200,58,Hippowdon,,0,
10,Magikarp,,129,♀,53,38,4,7,5,35.6,10.0,10.0,,,,"2021-11-11 17:22","2020-12-13 21:14",12/13/2020,,,0,0,0,1000,25.52%,3051,93.42%,19300,424,Gyarados,Normal,0,75.80%,992,96.33%,91000,488,Gyarados,Normal,0,23.54%,3132,62.01%,260000,286,Magikarp,,0,
