Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Marked for PvP use
1,Rhyhorn,,111,♂,586,94,10,2,0,26.7,14.0,14.0,,,,"2020-12-13 21:16","2020-12-13 21:16",12/13/2020,,,0,0,0,1600,46.74%,2182,94.78%,15200,41,Rhydon,,0,19.51%,3297,94.39%,99600,115,Rhydon,,0,
2,Gastly,,92,♂,481,56,9,11,7,60.0,15.0,15.0,,,,"2020-12-13 21:16","2020-12-13 21:16",12/13/2020,,,0,0,0,1900,61.54%,1576,95.22%,81900,99,Haunter,,0,43.03%,2334,95.45%,144400,259,Gengar,Normal,0,
3,Rhyhorn,,111,♂,712,109,14,1,15,66.7,16.0,16.0,,,,"2020-12-13 21:16","2020-12-13 21:16",12/13/2020,,,0,0,0,1900,18.00%,3359,93.27%,3800,29,Rhydon,,0,11.53%,3624,93.88%,78100,95,Rhydon,,0,
4,Magmar,,126,♂,1805,117,13,10,3,57.8,28.0,28.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,4500,,,,,,,,,4.42%,3915,93.24%,9000,108,Magmortar,,0,
5,Magikarp,,129,♀,40,34,6,7,15,62.2,7.0,7.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,800,45.74%,2223,94.41%,22600,428,Gyarados,,0,69.69%,1242,96.06%,87200,486,Gyarados,,0,
6,Magmar,,126,♂,783,79,11,12,8,68.9,12.0,12.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,1300,78.80%,869,95.98%,47400,48,Magmar,,0,49.13%,2084,95.67%,95400,190,Magmortar,,0,
7,Machamp,,68,♂,1720,132,14,12,14,88.9,20.0,20.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,2500,,,,,,,,,54.55%,1862,96.00%,65000,58,Machamp,,0,
8,Magikarp,,129,♂,200,67,9,11,4,53.3,34.0,34.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,7000,59.12%,1675,73.04%,352000,134,Magikarp,,0,59.12%,1675,73.04%,352000,134,Magikarp,,0,
9,Magikarp,,129,♀,91,48,7,4,5,35.6,16.0,16.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,1900,20.39%,3261,93.11%,1900,402,Gyarados,,0,68.38%,1296,96.01%,73600,466,Gyarados,,0,
10,Porygon,,137,,793,95,9,14,11,75.6,17.0,17.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,2200,72.04%,1146,95.96%,13800,37,Porygon2,,0,79.98%,821,97.07%,65300,183,Porygon-Z,,0,
11,Electabuzz,,125,♂,430,60,6,15,10,68.9,7.0,7.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,800,82.32%,725,96.81%,60700,63,Electabuzz,,0,71.84%,1154,96.79%,110200,206,Electivire,,0,
12,Electabuzz,,125,♂,1093,94,9,4,4,37.8,18.0,18.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,2200,62.93%,1519,95.03%,2200,102,Electivire,,0,28.84%,2915,95.08%,100400,188,Electivire,,0,
13,Electabuzz,,125,♂,1909,125,9,11,7,60.0,31.0,31.0,Thunder Shock,Thunderbolt,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,6000,,,,,,,,,73.68%,1079,95.50%,390000,174,Electabuzz,,0,
14,Rhyhorn,,111,♀,1038,132,4,5,8,37.8,25.0,25.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,4000,67.23%,1343,95.79%,247000,220,Rhyhorn,,0,75.75%,994,96.84%,44000,63,Rhydon,,0,
15,Magikarp,,129,♂,44,36,4,9,12,55.6,8.0,8.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,800,95.19%,198,97.56%,22900,428,Gyarados,,0,93.04%,286,97.43%,90100,488,Gyarados,,0,
16,Porygon,,137,,1092,117,0,1,10,24.4,26.0,26.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,4000,88.69%,464,97.17%,217000,214,Porygon,,0,34.31%,2691,95.25%,31000,153,Porygon-Z,,0,
17,Magmar,,126,♀,1644,117,11,10,13,75.6,25.0,25.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,4000,,,,,,,,,33.85%,2710,95.06%,29500,126,Magmortar,,0,
18,Rhyhorn,,111,♀,197,59,0,11,14,55.6,5.0,5.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,600,98.93%,45,98.53%,21200,153,Rhyperior,,0,98.88%,47,98.53%,73600,201,Rhyperior,,0,
19,Magmar,,126,♂,1583,119,0,2,13,33.3,26.0,26.0,,,,"2020-12-13 21:15","2020-12-13 21:15",12/13/2020,,,0,0,0,4000,,,,,,,,,85.59%,591,97.28%,52000,146,Magmortar,,0,
20,Electabuzz,,125,♀,2028,131,15,5,13,73.3,33.0,33.0,Low Kick,Thunder Punch,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,7000,,,,,,,,,68.91%,1274,95.14%,308000,150,Electabuzz,,0,
21,Magmar,,126,♂,1187,101,4,5,12,46.7,19.0,19.0,,,,"2020-12-13 21:14","2020-12-13 21:14",12/13/2020,,,0,0,0,2500,92.80%,296,97.10%,29000,26,Magmar,,0,75.24%,1015,96.74%,80000,170,Magmortar,,0,
