"pokemon_form_id","iv_id","level","cp","hp","stat_product"
1,1,1.0,12,12,1.388
1,1,1.5,25,17,4.067
1,1,2.0,38,21,7.614
1,1,2.5,52,24,11.663
1,1,3.0,65,27,16.464
1,1,3.5,78,30,21.995
1,1,4.0,91,32,27.399
1,1,4.5,105,35,34.301
1,1,5.0,118,37,40.831
1,1,5.5,131,39,47.84
1,1,6.0,145,41,55.366
1,1,6.5,158,42,61.89
1,1,7.0,171,44,70.281
1,1,7.5,184,46,79.149
1,1,8.0,198,48,88.525
1,1,8.5,211,49,96.419
1,1,9.0,224,51,106.646
1,1,9.5,237,52,115.152
1,1,10.0,251,54,126.275
1,1,10.5,264,55,135.374
1,1,11.0,276,56,144.011
1,1,11.5,288,57,153.245
1,1,12.0,301,59,165.514
1,1,12.5,313,60,175.347
1,1,13.0,326,61,185.393
1,1,13.5,338,62,195.64
1,1,14.0,351,63,206.149
1,1,14.5,363,65,220.343
1,1,15.0,376,66,231.403
1,1,15.5,389,67,242.745
1,1,16.0,401,68,254.286
1,1,16.5,414,69,266.1
1,1,17.0,426,70,278.144
1,1,17.5,439,71,290.408
1,1,18.0,451,72,302.934
1,1,18.5,464,73,315.673
1,1,19.0,476,74,328.614
1,1,19.5,489,75,341.855
1,1,20.0,501,76,355.239
1,1,20.5,514,77,368.912
1,1,21.0,527,78,382.826
1,1,21.5,539,79,396.97
1,1,22.0,552,80,411.347
1,1,22.5,564,81,426.005
1,1,23.0,577,82,440.825
1,1,23.5,589,82,450.373
1,1,24.0,602,83,465.569
1,1,24.5,614,84,481.04
1,1,25.0,627,85,496.716
1,1,25.5,640,86,512.599
1,1,26.0,652,87,528.745
1,1,26.5,665,88,545.088
1,1,27.0,677,88,555.383
1,1,27.5,690,89,572.06
1,1,28.0,702,90,588.991
1,1,28.5,715,91,606.18
1,1,29.0,727,92,623.619
1,1,29.5,740,92,634.417
1,1,30.0,753,93,652.166
1,1,30.5,759,94,664.698
1,1,31.0,765,94,670.158
1,1,31.5,771,94,675.646
1,1,32.0,778,95,688.398
1,1,32.5,784,95,693.905
1,1,33.0,790,95,699.435
1,1,33.5,796,96,712.407
1,1,34.0,803,96,718.04
1,1,34.5,809,97,731.232
1,1,35.0,815,97,736.799
1,1,35.5,822,97,742.556
1,1,36.0,828,98,755.879
1,1,36.5,834,98,761.651
1,1,37.0,840,98,767.361
1,1,37.5,847,99,780.981
1,1,38.0,853,99,786.707
1,1,38.5,859,100,800.546
1,1,39.0,865,100,806.366
1,1,39.5,872,100,812.214
1,1,40.0,878,101,826.257
1,1,40.5,884,101,831.472
1,1,41.0,889,101,836.793
1,2,1.0,12,12,1.388
1,2,1.5,25,17,4.067
1,2,2.0,39,21,7.614
1,2,2.5,52,24,11.663
1,2,3.0,65,27,16.464
1,2,3.5,79,30,21.995
1,2,4.0,92,32,27.399
1,2,4.5,105,35,34.301
1,2,5.0,118,37,40.831
1,2,5.5,132,39,47.84
1,2,6.0,145,41,55.366
1,2,6.5,158,43,63.363
1,2,7.0,172,45,71.878
1,2,7.5,185,46,79.149
1,2,8.0,198,48,88.525
